Temperature - (Celsius),Year,Statistics,Country,ISO3
1.64,1930,Feb Average,Belgium,BEL
3.41,1930,Mar Average,Belgium,BEL
7.53,1930,Apr Average,Belgium,BEL
13.98,1930,May Average,Belgium,BEL
16.28,1930,Jun Average,Belgium,BEL
17.09,1930,Jul Average,Belgium,BEL
16.07,1930,Aug Average,Belgium,BEL
11.83,1930,Sep Average,Belgium,BEL
9.21,1930,Oct Average,Belgium,BEL
6.95,1930,Nov Average,Belgium,BEL
2.87,1930,Dec Average,Belgium,BEL
4.13,1931,Jan Average,Belgium,BEL
1.11,1931,Feb Average,Belgium,BEL
3.8,1931,Mar Average,Belgium,BEL
7.51,1931,Apr Average,Belgium,BEL
12.3,1931,May Average,Belgium,BEL
15.48,1931,Jun Average,Belgium,BEL
17.73,1931,Jul Average,Belgium,BEL
19.73,1931,Aug Average,Belgium,BEL
15.57,1931,Sep Average,Belgium,BEL
9.75,1931,Oct Average,Belgium,BEL
5.69,1931,Nov Average,Belgium,BEL
3.63,1931,Dec Average,Belgium,BEL
0.3,1932,Jan Average,Belgium,BEL
2.87,1932,Feb Average,Belgium,BEL
7.23,1932,Mar Average,Belgium,BEL
8.92,1932,Apr Average,Belgium,BEL
12.46,1932,May Average,Belgium,BEL
15.49,1932,Jun Average,Belgium,BEL
18.73,1932,Jul Average,Belgium,BEL
18.57,1932,Aug Average,Belgium,BEL
15.49,1932,Sep Average,Belgium,BEL
10.54,1932,Oct Average,Belgium,BEL
4.16,1932,Nov Average,Belgium,BEL
-2.08,1932,Dec Average,Belgium,BEL
2.27,1933,Jan Average,Belgium,BEL
2.72,1933,Feb Average,Belgium,BEL
5.11,1933,Mar Average,Belgium,BEL
10.6,1933,Apr Average,Belgium,BEL
12.89,1933,May Average,Belgium,BEL
16.28,1933,Jun Average,Belgium,BEL
18.68,1933,Jul Average,Belgium,BEL
17.03,1933,Aug Average,Belgium,BEL
16.59,1933,Sep Average,Belgium,BEL
11.51,1933,Oct Average,Belgium,BEL
5.55,1933,Nov Average,Belgium,BEL
7.02,1933,Dec Average,Belgium,BEL
2.49,1934,Jan Average,Belgium,BEL
4.28,1934,Feb Average,Belgium,BEL
5.32,1934,Mar Average,Belgium,BEL
8.22,1934,Apr Average,Belgium,BEL
11.18,1934,May Average,Belgium,BEL
16.99,1934,Jun Average,Belgium,BEL
18.4,1934,Jul Average,Belgium,BEL
17.83,1934,Aug Average,Belgium,BEL
14.7,1934,Sep Average,Belgium,BEL
9.88,1934,Oct Average,Belgium,BEL
6.99,1934,Nov Average,Belgium,BEL
2.64,1934,Dec Average,Belgium,BEL
4.89,1935,Jan Average,Belgium,BEL
2.4,1935,Feb Average,Belgium,BEL
6.97,1935,Mar Average,Belgium,BEL
6.66,1935,Apr Average,Belgium,BEL
13.18,1935,May Average,Belgium,BEL
16.45,1935,Jun Average,Belgium,BEL
16.72,1935,Jul Average,Belgium,BEL
17.43,1935,Aug Average,Belgium,BEL
14.7,1935,Sep Average,Belgium,BEL
8.69,1935,Oct Average,Belgium,BEL
5.47,1935,Nov Average,Belgium,BEL
3.36,1935,Dec Average,Belgium,BEL
3.29,1936,Jan Average,Belgium,BEL
5.11,1936,Feb Average,Belgium,BEL
4.03,1936,Mar Average,Belgium,BEL
9.02,1936,Apr Average,Belgium,BEL
14.37,1936,May Average,Belgium,BEL
16.1,1936,Jun Average,Belgium,BEL
17.42,1936,Jul Average,Belgium,BEL
18.04,1936,Aug Average,Belgium,BEL
14.18,1936,Sep Average,Belgium,BEL
11.21,1936,Oct Average,Belgium,BEL
4.84,1936,Nov Average,Belgium,BEL
1.85,1936,Dec Average,Belgium,BEL
4.0,1937,Jan Average,Belgium,BEL
3.26,1937,Feb Average,Belgium,BEL
8.31,1937,Mar Average,Belgium,BEL
6.82,1937,Apr Average,Belgium,BEL
11.36,1937,May Average,Belgium,BEL
16.19,1937,Jun Average,Belgium,BEL
16.71,1937,Jul Average,Belgium,BEL
18.16,1937,Aug Average,Belgium,BEL
15.41,1937,Sep Average,Belgium,BEL
10.01,1937,Oct Average,Belgium,BEL
8.79,1937,Nov Average,Belgium,BEL
0.9,1937,Dec Average,Belgium,BEL
4.38,1938,Jan Average,Belgium,BEL
3.62,1938,Feb Average,Belgium,BEL
4.78,1938,Mar Average,Belgium,BEL
9.57,1938,Apr Average,Belgium,BEL
11.87,1938,May Average,Belgium,BEL
16.49,1938,Jun Average,Belgium,BEL
17.09,1938,Jul Average,Belgium,BEL
17.96,1938,Aug Average,Belgium,BEL
14.94,1938,Sep Average,Belgium,BEL
8.44,1938,Oct Average,Belgium,BEL
7.72,1938,Nov Average,Belgium,BEL
1.35,1938,Dec Average,Belgium,BEL
-4.74,1939,Jan Average,Belgium,BEL
0.22,1939,Feb Average,Belgium,BEL
5.55,1939,Mar Average,Belgium,BEL
8.94,1939,Apr Average,Belgium,BEL
13.27,1939,May Average,Belgium,BEL
16.91,1939,Jun Average,Belgium,BEL
16.31,1939,Jul Average,Belgium,BEL
15.76,1939,Aug Average,Belgium,BEL
13.76,1939,Sep Average,Belgium,BEL
9.25,1939,Oct Average,Belgium,BEL
6.92,1939,Nov Average,Belgium,BEL
0.77,1939,Dec Average,Belgium,BEL
-2.09,1940,Jan Average,Belgium,BEL
2.02,1940,Feb Average,Belgium,BEL
5.64,1940,Mar Average,Belgium,BEL
7.1,1940,Apr Average,Belgium,BEL
9.97,1940,May Average,Belgium,BEL
16.83,1940,Jun Average,Belgium,BEL
19.03,1940,Jul Average,Belgium,BEL
15.72,1940,Aug Average,Belgium,BEL
14.59,1940,Sep Average,Belgium,BEL
10.08,1940,Oct Average,Belgium,BEL
4.63,1940,Nov Average,Belgium,BEL
4.13,1940,Dec Average,Belgium,BEL
-4.11,1941,Jan Average,Belgium,BEL
-3.4,1941,Feb Average,Belgium,BEL
4.35,1941,Mar Average,Belgium,BEL
9.59,1941,Apr Average,Belgium,BEL
12.44,1941,May Average,Belgium,BEL
15.27,1941,Jun Average,Belgium,BEL
16.63,1941,Jul Average,Belgium,BEL
18.31,1941,Aug Average,Belgium,BEL
15.42,1941,Sep Average,Belgium,BEL
12.28,1941,Oct Average,Belgium,BEL
5.41,1941,Nov Average,Belgium,BEL
4.29,1941,Dec Average,Belgium,BEL
3.22,1942,Jan Average,Belgium,BEL
4.61,1942,Feb Average,Belgium,BEL
6.98,1942,Mar Average,Belgium,BEL
10.81,1942,Apr Average,Belgium,BEL
13.74,1942,May Average,Belgium,BEL
15.06,1942,Jun Average,Belgium,BEL
18.0,1942,Jul Average,Belgium,BEL
17.76,1942,Aug Average,Belgium,BEL
14.29,1942,Sep Average,Belgium,BEL
11.34,1942,Oct Average,Belgium,BEL
4.89,1942,Nov Average,Belgium,BEL
1.86,1942,Dec Average,Belgium,BEL
4.78,1943,Jan Average,Belgium,BEL
1.44,1943,Feb Average,Belgium,BEL
3.64,1943,Mar Average,Belgium,BEL
9.99,1943,Apr Average,Belgium,BEL
12.18,1943,May Average,Belgium,BEL
14.5,1943,Jun Average,Belgium,BEL
17.49,1943,Jul Average,Belgium,BEL
19.83,1943,Aug Average,Belgium,BEL
13.54,1943,Sep Average,Belgium,BEL
9.55,1943,Oct Average,Belgium,BEL
6.11,1943,Nov Average,Belgium,BEL
2.55,1943,Dec Average,Belgium,BEL
-2.56,1944,Jan Average,Belgium,BEL
6.08,1944,Feb Average,Belgium,BEL
7.62,1944,Mar Average,Belgium,BEL
10.5,1944,Apr Average,Belgium,BEL
14.47,1944,May Average,Belgium,BEL
16.88,1944,Jun Average,Belgium,BEL
18.65,1944,Jul Average,Belgium,BEL
17.05,1944,Aug Average,Belgium,BEL
15.3,1944,Sep Average,Belgium,BEL
11.76,1944,Oct Average,Belgium,BEL
5.16,1944,Nov Average,Belgium,BEL
3.7,1944,Dec Average,Belgium,BEL
0.08,1945,Jan Average,Belgium,BEL
4.99,1945,Feb Average,Belgium,BEL
4.93,1945,Mar Average,Belgium,BEL
10.54,1945,Apr Average,Belgium,BEL
13.05,1945,May Average,Belgium,BEL
14.72,1945,Jun Average,Belgium,BEL
18.35,1945,Jul Average,Belgium,BEL
16.69,1945,Aug Average,Belgium,BEL
15.17,1945,Sep Average,Belgium,BEL
9.81,1945,Oct Average,Belgium,BEL
6.46,1945,Nov Average,Belgium,BEL
0.14,1945,Dec Average,Belgium,BEL
-1.12,1946,Jan Average,Belgium,BEL
-2.9,1946,Feb Average,Belgium,BEL
4.46,1946,Mar Average,Belgium,BEL
10.08,1946,Apr Average,Belgium,BEL
15.35,1946,May Average,Belgium,BEL
17.87,1946,Jun Average,Belgium,BEL
19.72,1946,Jul Average,Belgium,BEL
20.65,1946,Aug Average,Belgium,BEL
17.49,1946,Sep Average,Belgium,BEL
10.35,1946,Oct Average,Belgium,BEL
7.17,1946,Nov Average,Belgium,BEL
3.73,1946,Dec Average,Belgium,BEL
5.36,1947,Jan Average,Belgium,BEL
3.05,1947,Feb Average,Belgium,BEL
7.87,1947,Mar Average,Belgium,BEL
10.13,1947,Apr Average,Belgium,BEL
13.6,1947,May Average,Belgium,BEL
15.6,1947,Jun Average,Belgium,BEL
16.74,1947,Jul Average,Belgium,BEL
17.02,1947,Aug Average,Belgium,BEL
14.67,1947,Sep Average,Belgium,BEL
10.26,1947,Oct Average,Belgium,BEL
5.76,1947,Nov Average,Belgium,BEL
3.66,1947,Dec Average,Belgium,BEL
3.53,1948,Jan Average,Belgium,BEL
4.1,1948,Feb Average,Belgium,BEL
4.43,1948,Mar Average,Belgium,BEL
11.28,1948,Apr Average,Belgium,BEL
11.79,1948,May Average,Belgium,BEL
15.09,1948,Jun Average,Belgium,BEL
18.65,1948,Jul Average,Belgium,BEL
18.16,1948,Aug Average,Belgium,BEL
18.07,1948,Sep Average,Belgium,BEL
12.24,1948,Oct Average,Belgium,BEL
5.34,1948,Nov Average,Belgium,BEL
4.66,1948,Dec Average,Belgium,BEL
1.39,1949,Jan Average,Belgium,BEL
