Time,Anomaly (deg C),Lower confidence limit (2.5%),Upper confidence limit (97.5%)
1937-05,-0.091207266,-0.25534177,0.07292723
1937-06,-0.008428331,-0.18466923,0.16781256
1937-07,0.019690081,-0.13141476,0.17079492
1937-08,0.036828596,-0.15785031,0.2315075
1937-09,0.14490855,-0.010420173,0.30023727
1937-10,0.12801065,-0.011122891,0.2671442
1937-11,0.061703082,-0.050341,0.17374717
1937-12,-0.0783857,-0.19385788,0.037086464
1938-01,0.04551444,-0.05937577,0.15040465
1938-02,-0.009824214,-0.11000702,0.090358585
1938-03,-0.015279184,-0.117580466,0.087022096
1938-04,0.04000326,-0.0976628,0.17766932
1938-05,-0.09591497,-0.2707099,0.07887996
1938-06,-0.09364482,-0.26718155,0.0798919
1938-07,-0.04622565,-0.20220377,0.109752476
1938-08,-0.0028444168,-0.20122032,0.19553149
1938-09,0.01991738,-0.13494068,0.17477545
1938-10,0.16282216,0.024466746,0.30117756
1938-11,0.054737236,-0.053614,0.16308847
1938-12,-0.20567,-0.32208803,-0.089251965
1939-01,-0.121787794,-0.22934918,-0.014226404
1939-02,-0.117604576,-0.21543846,-0.019770693
1939-03,-0.28873166,-0.39380893,-0.18365441
1939-04,-0.106402785,-0.23740795,0.024602382
1939-05,-0.03005215,-0.19047527,0.13037097
1939-06,0.014760026,-0.16028467,0.18980472
1939-07,-0.037748978,-0.20127435,0.1257764
1939-08,-0.04066755,-0.25702047,0.17568538
1939-09,-0.017160367,-0.20016287,0.16584213
1939-10,-0.09934573,-0.26764223,0.06895078
1939-11,0.021302136,-0.11902354,0.16162781
1939-12,0.33387345,0.18944654,0.47830033
1940-01,-0.052654818,-0.18006782,0.07475819
1940-02,0.08632718,-0.0359212,0.20857556
1940-03,-0.035766255,-0.1625376,0.09100509
1940-04,0.14895241,-0.034468964,0.33237377
1940-05,0.0502412,-0.14184676,0.24232917
1940-06,0.044663727,-0.1491368,0.23846425
1940-07,0.1482532,-0.028301956,0.32480836
1940-08,0.09961082,-0.115770265,0.31499192
1940-09,0.13118677,-0.03203977,0.2944133
1940-10,0.09584135,-0.059646063,0.25132877
1940-11,-0.0046561854,-0.13411191,0.12479955
1940-12,0.19923072,0.06407699,0.33438444
1941-01,-0.039560955,-0.25157484,0.17245293
1941-02,0.11823889,-0.08517223,0.32165
1941-03,-0.11652528,-0.32683504,0.09378447
1941-04,0.036228664,-0.19644469,0.268902
1941-05,0.06123504,-0.19559848,0.31806856
1941-06,0.0596246,-0.18859485,0.30784404
1941-07,0.16075781,-0.07209745,0.39361307
1941-08,0.039676894,-0.22813907,0.30749285
1941-09,-0.14452067,-0.3784344,0.08939303
1941-10,0.21426645,-0.0057034367,0.43423632
1941-11,-0.007257905,-0.22418799,0.20967218
1941-12,0.07538852,-0.13360447,0.2843815
1942-01,0.25783694,0.053692356,0.4619815
1942-02,0.016801072,-0.18281478,0.21641691
1942-03,-0.041579403,-0.24019195,0.15703313
1942-04,-0.015153615,-0.24485067,0.21454343
1942-05,0.12379065,-0.13554372,0.38312504
1942-06,0.030325836,-0.2195993,0.28025097
1942-07,-0.059752498,-0.2964828,0.1769778
1942-08,-0.05740612,-0.3351613,0.22034906
1942-09,-0.013465349,-0.25318065,0.22624996
1942-10,-0.08694347,-0.30974555,0.13585861
1942-11,-0.057510037,-0.27184075,0.15682067
1942-12,-0.080070905,-0.2823254,0.122183576
1943-01,-0.18267323,-0.41188934,0.046542883
1943-02,-0.03061434,-0.24937429,0.18814561
1943-03,-0.16772735,-0.39681655,0.061361846
1943-04,0.022969417,-0.20856993,0.25450876
1943-05,0.03550913,-0.23148823,0.30250648
1943-06,-0.07487101,-0.33023354,0.1804915
1943-07,0.018335527,-0.22184484,0.2585159
1943-08,0.031610876,-0.24861293,0.31183466
1943-09,-0.013441508,-0.24750064,0.22061762
1943-10,0.2277136,-0.0019893488,0.45741653
1943-11,0.10388872,-0.115436934,0.32321438
1943-12,0.10626907,-0.10569832,0.31823647
1944-01,0.31816214,0.112214126,0.52411014
1944-02,0.11862034,-0.08507213,0.32231283
1944-03,0.12006746,-0.09471434,0.33484927
1944-04,0.04225588,-0.1885682,0.27307996
1944-05,0.119925626,-0.13840115,0.3782524
1944-06,0.10735916,-0.15293637,0.3676547
1944-07,0.14871696,-0.0872223,0.3846562
1944-08,0.20666182,-0.079099305,0.49242294
1944-09,0.16769068,-0.056805864,0.39218724
1944-10,0.20805594,-0.0102054365,0.42631733
1944-11,0.08847658,-0.1139502,0.29090336
1944-12,0.083269,-0.112689644,0.27922764
1945-01,0.09508047,-0.11957911,0.30974007
1945-02,0.04839935,-0.16548169,0.2622804
1945-03,0.03865824,-0.17728569,0.25460216
1945-04,0.20985286,-0.02450203,0.44420776
1945-05,-0.061685707,-0.33644745,0.21307604
1945-06,-0.03652022,-0.29726994,0.22422948
1945-07,0.00042324737,-0.24768649,0.24853298
1945-08,0.2362124,-0.053284284,0.5257091
1945-09,0.1028386,-0.122961916,0.32863912
1945-10,0.094233386,-0.13283221,0.321299
1945-11,-0.010639086,-0.22343569,0.20215751
1945-12,-0.19979319,-0.40156344,0.0019770549
1946-01,0.046495322,-0.12599254,0.21898319
